Language	Concept	Portuguese	Form	Semantic	Concepticon	Cognate	Notes
Xipaya	SAD(NESS)	TRISTE(ZA)	jatúhu	EMOTIONS AND VALUES	699		
Xipaya	SALIVA	SALIVA	kuriʃá	BODY	1503	1	
Xipaya	SALT	SAL	yukɨdɨ	FOOD AND DRINK	1274	1	
Xipaya	SAND	AREIA	tãjãjã	PHYSICAL WORLD	1127		
Xipaya	SAY	DIZER	ze	SPEECH AND LANGUAGE	1458		
Xipaya	SCARE	ASSUSTAR / AMEDRONTAR		EMOTIONS AND VALUES	252		
Xipaya	SCORPION	ESCORPIÃO		ANIMALS	1538		
Xipaya	SEE	VER	záku	SENSE PERCEPTION	1409		
Xipaya	SEED	SEMENTE	bɨa	AGRICULTURE AND VEGETATION	714		
Xipaya	SEEK / LOOK FOR / SEARCH	BUSCAR / PROCURAR		POSSESSION	1468		
Xipaya	SEND	ENVIAR		MOTION	1127		
Xipaya	SHAMAN	PAJÉ	ziapa	RELEGION AND BELIEF	394	1	
Xipaya	SHARPEN	AFIAR	mĩ	SENSE PERCEPTION	251		
Xipaya	SHELL / BARK	CASCA / PELE	-sa	AGRICULTURE AND VEGETATION	1204 / 2127		
Xipaya	SHELL	CONCHA		ANIMALS	598		
Xipaya	SHORT	CURTO	jaturĩ	SPATIAL RELATIONS	1645	1	
Xipaya	SICK / ILL	DOENTE		BODY	1847		
Xipaya	SING	CANTAR	bɨja	SPEECH AND LANGUAGE	1261		also means 'music'
Xipaya	SISTER	IRMÃ		KINSHIP	1263		
Xipaya	SIT	SENTAR(-SE)	bɨku	SPATIAL RELATIONS	1416		
Xipaya	SKIN	PELE	-sa	BODY	763	4	
Xipaya	SKY	CÉU		PHYSICAL WORLD	1732		
Xipaya	SLEEP	DORMIR	siu	BODY	1585	2	
Xipaya	SLOTH	BICHO PREGUIÇA	susue	ANIMALS	2446	3	
Xipaya	SMALL	PEQUENO	ʃiʃi	SPATIAL RELATIONS	1246	5	
Xipaya	SMOKE (N)	FUMAÇA	ʃiã	PHYSICAL WORLD	778		
Xipaya	SNAIL	CARACOL / LESMA	aruá	ANIMALS	1543		
Xipaya	SNAKE	COBRA	huta	ANIMALS	730	4	
Xipaya	SNORE	RONCAR	karará	BODY	1983		
Xipaya	SON OF WOMAN	FILHO DE MULHER	japɨka	KINSHIP	1620		
Xipaya	SON OF MAN	FILHO DE HOMEN	japɨka	KINSHIP	1620		
